driver_id,vehicle_type,rating,onboarding_date,active_status
101,Sedan,4.37,21-05-2025,Active
102,Hatchback,4.41,15-01-2026,Churned
103,Hatchback,4.62,16-01-2025,Active
104,Hatchback,4.73,15-10-2025,Active
105,Sedan,4.69,23-04-2025,Active
106,Hatchback,4.9,24-01-2026,Active
107,Sedan,4.56,21-03-2025,Active
108,Sedan,4.41,14-07-2025,Active
109,Premium Sedan,4.73,18-02-2026,Active
110,Sedan,4.43,13-07-2025,Active
111,Hatchback,4.75,18-03-2026,Active
112,Hatchback,4.39,05-12-2025,Active
113,Hatchback,4.4,30-04-2025,Churned
114,Hatchback,4.64,04-03-2026,Active
115,Hatchback,4.48,17-05-2025,Active
116,Sedan,4.39,22-11-2025,Active
117,Sedan,4.45,14-07-2025,Active
118,SUV,4.78,23-04-2025,Active
119,Premium Sedan,4.84,28-04-2025,Active
120,Premium Sedan,4.6,03-02-2025,Active
121,SUV,4.9,11-06-2025,Active
122,Sedan,4.91,26-11-2025,Active
123,Hatchback,4.51,15-10-2025,Active
124,Sedan,4.62,26-10-2025,Active
125,Hatchback,4.98,18-09-2025,Active
126,Sedan,4.89,20-03-2025,Active
127,Sedan,4.62,02-02-2025,Active
128,Sedan,4.64,09-05-2025,Suspended
129,Premium Sedan,4.36,05-01-2026,Active
130,Premium Sedan,4.82,29-01-2026,Active
131,Hatchback,4.62,21-08-2025,Active
132,Sedan,4.8,14-09-2025,Active
133,Sedan,4.42,17-11-2025,Active
134,Sedan,4.73,20-03-2025,Active
135,Hatchback,4.95,29-09-2025,Churned
136,Sedan,4.66,27-02-2025,Churned
137,Premium Sedan,4.87,07-06-2025,Active
138,Hatchback,4.71,10-02-2025,Active
139,Sedan,4.39,25-01-2026,Active
140,Hatchback,4.77,09-10-2025,Active
141,Sedan,4.73,19-04-2025,Churned
142,Sedan,4.78,01-01-2026,Active
143,SUV,4.76,13-08-2025,Churned
144,Sedan,4.51,02-02-2025,Active
145,Sedan,4.49,23-04-2025,Active
146,Sedan,4.39,04-02-2025,Churned
147,Premium Sedan,4.39,02-05-2025,Active
