trip_id,driver_id,rider_id,pickup_zone_id,request_timestamp,dropoff_timestamp,trip_status,trip_distance_km,base_fare,surge_multiplier,total_fare,driver_payout
TRIP-000001,,7048,2,28-07-2026 01:08,,Unfulfilled,15.98,271.71,1,0,0
TRIP-000002,221,8958,2,30-06-2026 07:59,30-06-2026 08:16,Completed,5.65,121.93,1,121.93,93.34
TRIP-000003,,8242,2,07-08-2026 21:26,,Unfulfilled,10.6,193.7,1,0,0
TRIP-000004,335,5401,6,25-07-2026 22:42,,Rider Cancelled,29.36,465.72,1,0,0
TRIP-000005,161,7886,5,27-08-2026 18:50,27-08-2026 19:18,Completed,8.96,169.92,1,169.92,129.03
TRIP-000006,297,6120,5,09-08-2026 23:53,10-08-2026 01:00,Completed,21.03,344.94,1,344.94,269.56
TRIP-000007,154,7676,1,13-07-2026 19:11,,Driver Cancelled,24.55,395.98,1.64,0,0
TRIP-000008,186,7997,1,20-06-2026 11:53,20-06-2026 12:56,Completed,18.16,303.32,1,303.32,237.98
TRIP-000009,,7417,7,20-08-2026 01:39,,Unfulfilled,24.52,395.54,1,0,0
TRIP-000010,174,5616,5,03-07-2026 21:15,03-07-2026 21:38,Completed,6.65,136.43,1,136.43,103.22
TRIP-000011,225,7996,8,09-07-2026 14:02,,Rider Cancelled,5.16,114.82,1,50,35
TRIP-000012,300,7147,1,23-07-2026 02:18,23-07-2026 03:31,Completed,19.74,326.23,1,326.23,258.86
TRIP-000013,292,9599,3,23-06-2026 16:50,23-06-2026 17:20,Completed,12.18,216.61,1,216.61,172.47
TRIP-000014,114,8344,3,19-08-2026 23:43,20-08-2026 00:05,Completed,5.94,126.13,1,126.13,98.6
TRIP-000015,335,8039,3,18-07-2026 19:53,18-07-2026 21:06,Completed,22.28,363.06,1.48,537.33,412.45
TRIP-000016,256,8398,5,28-07-2026 00:36,28-07-2026 01:44,Completed,21.82,356.39,1,356.39,265.03
TRIP-000017,177,8632,1,28-06-2026 03:50,28-06-2026 04:45,Completed,15.62,266.49,1,266.49,211.6
TRIP-000018,188,7938,2,06-08-2026 13:45,,Driver Cancelled,4.29,102.2,1,0,0
TRIP-000019,301,5750,7,19-06-2026 10:17,,Rider Cancelled,22.05,359.73,1,0,0
TRIP-000020,167,6031,1,03-06-2026 01:45,03-06-2026 02:42,Completed,25.72,412.94,1,412.94,311.39
TRIP-000021,145,6908,3,21-06-2026 02:42,,Rider Cancelled,12.19,216.75,1,0,0
TRIP-000022,132,7053,1,28-07-2026 20:44,28-07-2026 22:08,Completed,26.06,417.87,2.23,931.85,744.04
TRIP-000023,334,7173,3,02-06-2026 10:37,02-06-2026 10:48,Completed,4.05,98.72,2.15,212.25,168.35
TRIP-000024,242,9204,3,07-06-2026 04:06,,Rider Cancelled,20.01,330.15,1,0,0
TRIP-000025,109,7470,7,31-08-2026 18:58,31-08-2026 19:33,Completed,16.01,272.14,2.07,563.33,434.47
TRIP-000026,123,8633,3,09-07-2026 23:50,10-07-2026 00:02,Completed,4.67,107.72,1,107.72,85.22
TRIP-000027,221,9492,2,13-06-2026 06:02,13-06-2026 07:31,Completed,23.51,380.9,1,380.9,292.59
TRIP-000028,305,5937,3,15-07-2026 01:14,15-07-2026 02:53,Completed,27.66,441.07,1,441.07,338.27
TRIP-000029,243,6871,2,24-08-2026 00:44,24-08-2026 01:24,Completed,14.71,253.3,1,253.3,191.55
